province_zipCode,city_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount
420000,420500,65596,0,23285,2641,929,0,396,30
420000,420600,65596,0,23285,2641,1175,0,701,31
420000,420800,65596,0,23285,2641,923,0,508,37
420000,420200,65596,0,23285,2641,1013,0,624,33
420000,420300,65596,0,23285,2641,671,0,372,3
420000,421200,65596,0,23285,2641,836,0,616,11
420000,429004,65596,0,23285,2641,575,0,356,19
420000,429006,65596,0,23285,2641,496,0,307,13
420000,429005,65596,0,23285,2641,197,0,97,9
420000,422800,65596,0,23285,2641,251,0,164,4
420000,429021,65596,0,23285,2641,11,0,10,0
420000,420100,65596,0,23253,2641,47824,0,13355,2104
420000,420900,65596,0,23253,2641,3516,0,1622,113
420000,421100,65596,0,23253,2641,2904,0,1952,110
420000,420700,65596,0,23253,2641,1389,0,613,42
420000,421000,65596,0,23253,2641,1579,0,867,45
420000,421300,65596,0,23253,2641,1307,0,693,37
420000,420500,65596,0,23253,2641,929,0,396,30
420000,420600,65596,0,23253,2641,1175,0,701,31
420000,420800,65596,0,23253,2641,923,0,508,37
420000,420200,65596,0,23253,2641,1013,0,624,33
420000,420300,65596,0,23253,2641,671,0,372,3
420000,421200,65596,0,23253,2641,836,0,616,11
420000,429004,65596,0,23253,2641,575,0,356,19
420000,429006,65596,0,23253,2641,496,0,307,13
420000,429005,65596,0,23253,2641,197,0,97,9
420000,422800,65596,0,23253,2641,251,0,164,4
420000,429021,65596,0,23253,2641,11,0,10,0
330000,330300,1205,0,927,1,504,0,384,1
330000,331000,1205,0,927,1,146,0,103,0
330000,0,1205,0,927,1,36,0,3,0
330000,330200,1205,0,927,1,157,0,134,0
330000,330100,1205,0,927,1,169,0,149,0
330000,330400,1205,0,927,1,45,0,32,0
330000,330600,1205,0,927,1,42,0,31,0
330000,330700,1205,0,927,1,55,0,50,0
330000,330900,1205,0,927,1,10,0,6,0
330000,330800,1205,0,927,1,14,0,11,0
330000,330500,1205,0,927,1,10,0,7,0
330000,331100,1205,0,927,1,17,0,17,0
510000,510100,534,0,320,3,143,0,83,3
